Country,City,Year,MeanTemperature,TemperatureVariation
US,Fairbanks,2020,-13.18200663349917,57.72222222222223
Mongolia,Ulan-bator,2020,-8.099087893864013,47.166666666666664
Canada,Winnipeg,2014,-6.003105590062112,56.8888888888889
Canada,Edmonton,2015,-4.714285714285714,36.22222222222222
Canada,Regina,2020,-4.575041459369817,45.05555555555556
US,Anchorage,2020,-4.44195688225539,34.0
US,Fairbanks,1999,-4.347374847374848,69.0
US,Fairbanks,2012,-4.156193078324226,66.55555555555556
US,Fairbanks,1996,-4.013509411050395,63.5
US,Fargo,2020,-3.388059701492537,43.77777777777778
Canada,Quebec,2020,-3.3320802005012533,30.77777777777778
US,Fairbanks,2008,-3.2659056316590567,64.55555555555557
US,Caribou,2020,-3.219320066334992,29.777777777777782
Mongolia,Ulan-bator,2012,-3.193837279902854,63.55555555555556
US,Fairbanks,2006,-3.183713850837139,63.83333333333333
US,Duluth,2020,-3.0169983416252077,36.55555555555556
Mongolia,Ulan-bator,2011,-2.3006088280060886,56.888888888888886
US,Fairbanks,2007,-2.1984126984126986,63.44444444444444
US,Fairbanks,2011,-2.1817351598173516,60.27777777777778
US,Fairbanks,2009,-1.9983211233211233,65.77777777777779
US,Fairbanks,2000,-1.9928658166363085,65.44444444444446
US,Fairbanks,1995,-1.989041095890411,62.77777777777778
Mongolia,Ulan-bator,2010,-1.962557077625571,66.11111111111111
US,Fairbanks,2001,-1.7914764079147643,56.5
US,Fairbanks,1997,-1.7353120243531204,67.00000000000001
Kyrgyzstan,Bishkek,1997,-1.670250896057348,20.111111111111114
Mongolia,Ulan-bator,2013,-1.6672754946727553,57.333333333333336
US,Fairbanks,2013,-1.6611872146118722,67.61111111111111
US,Fairbanks,2004,-1.6350941105039467,65.22222222222223
US,Fairbanks,1998,-1.6129578331794399,63.777777777777786
US,Fairbanks,2010,-1.5905631659056316,61.166666666666664
US,Fairbanks,2005,-1.5359208523592087,62.777777777777786
Mongolia,Ulan-bator,2016,-1.465930018416206,62.611111111111114
US,Fairbanks,2003,-1.463013698630137,57.66666666666667
Mongolia,Ulan-bator,2001,-1.4371385083713855,65.16666666666667
Mongolia,Ulan-bator,2003,-1.3382173382173383,59.5
Mongolia,Ulan-bator,2002,-1.2782394582948602,64.16666666666667
Mongolia,Ulan-bator,2005,-1.1441400304414004,64.94444444444446
US,Sault Ste Marie,2020,-1.1297678275290215,27.44444444444445
US,Bismarck,2020,-1.1169154228855722,42.388888888888886
Mongolia,Ulan-bator,2000,-1.0951730418943535,59.88888888888889
US,Fairbanks,2017,-0.9951293759512939,68.05555555555556
Mongolia,Ulan-bator,2009,-0.9906898656898657,60.888888888888886
Mongolia,Ulan-bator,2014,-0.8456959706959707,57.22222222222223
Mongolia,Ulan-bator,1996,-0.8089201877934273,53.611111111111114
US,Fairbanks,2002,-0.7839335180055401,59.277777777777786
US,Fairbanks,2015,-0.7464231354642313,64.16666666666667
Canada,Calgary,2014,-0.5753472222222223,46.44444444444444
Mongolia,Ulan-bator,2006,-0.5598173515981736,60.16666666666667
Mongolia,Ulan-bator,2018,-0.534104938271605,59.888888888888886
Mongolia,Ulan-bator,2019,-0.5304012345679012,57.0
Mongolia,Ulan-bator,2017,-0.48691019786910206,61.66666666666667
US,Fairbanks,2018,-0.48432267884322694,56.33333333333334
Mongolia,Ulan-bator,1999,-0.384004884004884,60.27777777777778
Mongolia,Ulan-bator,2004,-0.2829386763812995,63.0
US,Fairbanks,2014,-0.2812785388127854,62.38888888888889
Canada,Ottawa,2014,-0.1552795031055901,47.5
Mongolia,Ulan-bator,2008,-0.14490106544901069,59.5
US,Fairbanks,2016,-0.10959319975713418,57.83333333333334
Mongolia,Ulan-bator,2015,-0.07326007326007325,54.888888888888886
Mongolia,Ulan-bator,1995,-0.03576864535768641,49.72222222222222
Canada,Regina,1996,0.28157255616272014,62.111111111111114
US,Green Bay,2020,0.45480928689883915,35.05555555555556
US,Casper,2020,0.5136815920398012,29.77777777777778
Mongolia,Ulan-bator,1998,0.5371913580246913,59.611111111111114
Canada,Winnipeg,1996,0.5979052823315117,66.0
US,Fairbanks,2019,0.6371385083713851,64.0
Mongolia,Ulan-bator,1997,0.6734192756292203,55.33333333333333
US,Great Falls,2020,0.7048092868988393,39.388888888888886
Mongolia,Ulan-bator,2007,0.7431318681318682,56.611111111111114
US,Minneapolis St. Paul,2020,0.7479270315091212,38.44444444444444
Japan,Sapporo,2020,0.7972636815920399,27.888888888888893
Canada,Halifax,2014,0.8643892339544514,36.05555555555556
US,Rapid City,2020,1.2757048092868992,33.72222222222222
Canada,Toronto,2014,1.336438923395445,43.44444444444445
US,Sioux Falls,2020,1.3739635157545607,42.22222222222223
Canada,Regina,2009,1.4247557997558,56.111111111111114
US,Juneau,2020,1.4834162520729683,29.666666666666668
US,Burlington,2020,1.4946102819237148,32.27777777777778
Canada,Edmonton,1996,1.4949908925318764,57.72222222222223
China,Shenyang,2020,1.5338345864661653,39.94444444444444
US,Anchorage,2008,1.5885225885225887,38.55555555555556
US,Anchorage,1999,1.5982905982905984,49.388888888888886
US,Anchorage,2012,1.6731936854887675,40.777777777777786
Canada,Regina,2013,1.673668188736682,54.94444444444444
US,Anchorage,1996,1.6856405585913783,40.333333333333336
US,Madison,2020,1.6956882255389716,35.888888888888886
Iceland,Reykjavik,2020,1.7077114427860698,14.11111111111111
Canada,Calgary,1996,1.8038858530661812,54.55555555555556
Canada,Regina,2014,1.8768645357686455,56.5
US,Cheyenne,2020,1.9631011608623552,31.61111111111111
Canada,Regina,2019,2.042582417582418,58.66666666666667
Canada,Winnipeg,2013,2.0508371385083715,58.88888888888889
Canada,Winnipeg,2008,2.0764079147640793,54.888888888888886
US,Concord,2020,2.1413764510779436,29.77777777777778
US,Billings,2020,2.2475124378109452,38.111111111111114
US,Anchorage,2006,2.2920852359208523,38.27777777777778
Canada,Regina,2002,2.2999384425977225,58.111111111111114
Canada,Winnipeg,2004,2.3263509411050394,61.27777777777778
Canada,Winnipeg,1995,2.3741248097412484,62.94444444444444
US,Lansing,2020,2.375621890547264,29.000000000000004
US,Helena,2020,2.3834586466165413,34.83333333333333
Canada,Regina,2004,2.4248633879781423,62.611111111111114
US,Duluth,1996,2.4692541856925416,59.88888888888889
Canada,Regina,2008,2.4711236660389204,57.66666666666667
US,Rochester,2020,2.4896351575456057,27.444444444444443
US,Sioux City,2020,2.496212121212121,41.111111111111114
Finland,Helsinki,2020,2.5049751243781095,15.88888888888889
Canada,Edmonton,2002,2.53601108033241,53.66666666666667
Canada,Regina,2000,2.5394216133942162,56.44444444444444
US,Milwaukee,2020,2.543117744610282,33.77777777777778
Canada,Regina,2018,2.5994796449341906,55.22222222222223
